    f         Sigma
10000000.00 0.00000000
45025025.03 0.00000000
80050050.05 0.00000000
115075075.08 0.00000000
150100100.10 0.00000001
185125125.13 0.00000002
220150150.15 0.00000005
255175175.18 0.00000009
290200200.20 0.00000015
325225225.23 0.00000023
360250250.25 0.00000035
395275275.28 0.00000051
430300300.30 0.00000071
465325325.33 0.00000097
500350350.35 0.00000130
535375375.38 0.00000170
570400400.40 0.00000219
605425425.43 0.00000278
640450450.45 0.00000347
675475475.48 0.00000430
710500500.50 0.00000525
745525525.53 0.00000637
780550550.55 0.00000764
815575575.58 0.00000910
850600600.60 0.00001076
885625625.63 0.00001264
920650650.65 0.00001475
955675675.68 0.00001711
990700700.70 0.00001974
1025725725.73 0.00002266
1060750750.75 0.00002589
1095775775.78 0.00002946
1130800800.80 0.00003337
1165825825.83 0.00003766
1200850850.85 0.00004234
1235875875.88 0.00004745
1270900900.90 0.00005299
1305925925.93 0.00005900
1340950950.95 0.00006549
1375975975.98 0.00007250
1411001001.00 0.00008005
1446026026.03 0.00008815
1481051051.05 0.00009684
1516076076.08 0.00010614
1551101101.10 0.00011608
1586126126.13 0.00012667
1621151151.15 0.00013795
1656176176.18 0.00014994
1691201201.20 0.00016266
1726226226.23 0.00017613
1761251251.25 0.00019038
1796276276.28 0.00020542
1831301301.30 0.00022129
1866326326.33 0.00023799
1901351351.35 0.00025556
1936376376.38 0.00027400
1971401401.40 0.00029332
2006426426.43 0.00031355
2041451451.45 0.00033470
2076476476.48 0.00035677
2111501501.50 0.00037978
2146526526.53 0.00040372
2181551551.55 0.00042860
2216576576.58 0.00045441
2251601601.60 0.00048115
2286626626.63 0.00050882
2321651651.65 0.00053740
2356676676.68 0.00056686
2391701701.70 0.00059720
2426726726.73 0.00062839
2461751751.75 0.00066039
2496776776.78 0.00069317
2531801801.80 0.00072670
2566826826.83 0.00076091
2601851851.85 0.00079577
2636876876.88 0.00083123
2671901901.90 0.00086721
2706926926.93 0.00090365
2741951951.95 0.00094048
2776976976.98 0.00097763
2812002002.00 0.00101502
2847027027.03 0.00105256
2882052052.05 0.00109016
2917077077.08 0.00112773
2952102102.10 0.00116518
2987127127.13 0.00120240
3022152152.15 0.00123930
3057177177.18 0.00127577
3092202202.20 0.00131172
3127227227.23 0.00134703
3162252252.25 0.00138161
3197277277.28 0.00141536
3232302302.30 0.00144817
3267327327.33 0.00147995
3302352352.35 0.00151060
3337377377.38 0.00154004
3372402402.40 0.00156817
3407427427.43 0.00159492
3442452452.45 0.00162021
3477477477.48 0.00164397
3512502502.50 0.00166613
3547527527.53 0.00168665
3582552552.55 0.00170546
3617577577.58 0.00172253
3652602602.60 0.00173782
3687627627.63 0.00175130
3722652652.65 0.00176295
3757677677.68 0.00177276
3792702702.70 0.00178072
3827727727.73 0.00178682
3862752752.75 0.00179107
3897777777.78 0.00179349
3932802802.80 0.00179410
3967827827.83 0.00179290
4002852852.85 0.00178995
4037877877.88 0.00178525
4072902902.90 0.00177887
4107927927.93 0.00177082
4142952952.95 0.00176117
4177977977.98 0.00174995
4213003003.00 0.00173722
4248028028.03 0.00172302
4283053053.05 0.00170742
4318078078.08 0.00169047
4353103103.10 0.00167223
4388128128.13 0.00165275
4423153153.15 0.00163209
4458178178.18 0.00161031
4493203203.20 0.00158747
4528228228.23 0.00156362
4563253253.25 0.00153884
4598278278.28 0.00151317
4633303303.30 0.00148668
4668328328.33 0.00145941
4703353353.35 0.00143143
4738378378.38 0.00140280
4773403403.40 0.00137356
4808428428.43 0.00134378
4843453453.45 0.00131350
4878478478.48 0.00128278
4913503503.50 0.00125167
4948528528.53 0.00122022
4983553553.55 0.00118848
5018578578.58 0.00115650
5053603603.60 0.00112433
5088628628.63 0.00109201
5123653653.65 0.00105959
5158678678.68 0.00102713
5193703703.70 0.00099465
5228728728.73 0.00096222
5263753753.75 0.00092987
5298778778.78 0.00089764
5333803803.80 0.00086559
5368828828.83 0.00083375
5403853853.85 0.00080216
5438878878.88 0.00077087
5473903903.90 0.00073991
5508928928.93 0.00070934
5543953953.95 0.00067919
5578978978.98 0.00064949
5614004004.00 0.00062030
5649029029.03 0.00059164
5684054054.05 0.00056356
5719079079.08 0.00053610
5754104104.10 0.00050928
5789129129.13 0.00048316
5824154154.15 0.00045776
5859179179.18 0.00043313
5894204204.20 0.00040929
5929229229.23 0.00038628
5964254254.25 0.00036413
5999279279.28 0.00034288
6034304304.30 0.00032255
6069329329.33 0.00030317
6104354354.35 0.00028478
6139379379.38 0.00026739
6174404404.40 0.00025104
6209429429.43 0.00023574
6244454454.45 0.00022152
6279479479.48 0.00020840
6314504504.50 0.00019639
6349529529.53 0.00018551
6384554554.55 0.00017578
6419579579.58 0.00016720
6454604604.60 0.00015979
6489629629.63 0.00015354
6524654654.65 0.00014848
6559679679.68 0.00014458
6594704704.70 0.00014187
6629729729.73 0.00014032
6664754754.75 0.00013994
6699779779.78 0.00014071
6734804804.80 0.00014262
6769829829.83 0.00014567
6804854854.85 0.00014982
6839879879.88 0.00015507
6874904904.90 0.00016139
6909929929.93 0.00016875
6944954954.95 0.00017713
6979979979.98 0.00018649
7015005005.01 0.00019681
7050030030.03 0.00020805
7085055055.06 0.00022017
7120080080.08 0.00023314
7155105105.11 0.00024691
7190130130.13 0.00026144
